date,region,bottle_size_ml,plastic_grade,cashback_bdt,market_recycle_price_bdt_per_kg,user_density_per_km2,awareness_index,distance_to_collection_km,rain_mm,campaign,bottles_sold,return_rate_percent,return_count,gross_recycle_value_bdt,cashback_cost_bdt,net_benefit_bdt
2024-11-15,Chattogram,1500,3,2.23,35.02,214,0.538,0.92,26.9,0,5241,55.25,2896,4563.81,6458.08,-1894.27
2024-06-27,Khulna,500,3,4.4,73.3,63,0.777,1.22,290.3,1,2923,63.87,1867,2052.77,8214.8,-6162.03
2023-12-06,Rajshahi,1000,3,5.37,65.34,16,0.618,2.78,0.0,0,1302,70.23,914,1791.62,4908.18,-3116.56
2024-06-28,Chattogram,2000,3,2.86,63.73,351,0.692,0.41,164.9,0,3165,53.84,1704,6515.76,4873.44,1642.32
2024-08-17,Mymensingh,250,2,5.21,40.79,14,0.628,3.75,181.0,1,957,61.0,584,178.66,3042.64,-2863.98
2024-03-08,Dhaka,1500,2,3.16,73.26,1225,0.675,0.7,83.0,0,2823,60.34,1703,5614.28,5381.48,232.8
2025-03-14,Barishal,500,3,3.01,58.28,14,0.433,2.69,119.6,0,1268,45.2,573,500.92,1724.73,-1223.81
2025-03-19,Dhaka,1000,3,1.14,71.11,809,0.695,0.99,0.0,0,6493,53.62,3482,7428.15,3969.48,3458.67
2023-04-29,Barishal,500,3,4.48,41.66,13,0.365,1.32,141.1,0,737,50.54,372,232.46,1666.56,-1434.1
2024-03-08,Sylhet,2000,3,5.04,28.74,33,0.722,0.48,5.0,0,4775,69.24,3306,5700.87,16662.24,-10961.37
2024-05-28,Rangpur,500,2,4.32,39.94,5,0.543,4.33,48.9,0,1495,59.9,896,536.79,3870.72,-3333.93
2023-01-03,Dhaka,500,4,1.76,47.32,1135,0.922,1.29,32.1,0,439,58.25,256,181.71,450.56,-268.85
2024-02-20,Rajshahi,2000,4,1.52,52.0,32,0.659,1.87,46.4,0,2031,41.92,851,2655.12,1293.52,1361.6
2023-10-01,Rajshahi,1000,3,3.86,50.65,23,0.614,0.72,72.0,0,2668,63.06,1682,2555.8,6492.52,-3936.72
2025-06-27,Barishal,1000,3,3.01,52.76,23,0.816,1.42,160.9,0,4672,57.3,2677,4237.16,8057.77,-3820.61
2023-07-20,Rajshahi,500,3,3.15,70.5,23,0.426,1.53,180.3,1,2787,48.47,1351,1428.68,4255.65,-2826.97
2025-06-27,Rajshahi,1000,4,5.84,30.21,14,0.446,1.07,164.1,0,853,69.39,592,536.53,3457.28,-2920.75
2024-09-23,Khulna,250,4,4.62,38.96,61,0.505,1.74,223.3,1,3383,59.01,1996,583.23,9221.52,-8638.29
2024-12-30,Chattogram,250,3,3.06,73.32,140,0.546,1.09,57.7,0,1699,53.56,910,500.41,2784.6,-2284.19
2023-12-23,Khulna,1000,3,1.1,53.63,41,0.904,0.79,47.9,0,540,45.43,245,394.18,269.5,124.68
2025-06-30,Dhaka,500,3,1.17,55.0,984,0.827,1.21,220.9,0,1542,46.65,719,593.17,841.23,-248.06
2025-06-13,Mymensingh,2000,3,4.42,48.68,10,0.271,2.65,193.9,1,717,56.97,408,1191.69,1803.36,-611.67
2023-01-27,Barishal,1500,3,5.19,52.94,34,0.394,1.27,20.5,0,1483,69.3,1028,2449.0,5335.32,-2886.32
2024-07-26,Mymensingh,1000,3,4.54,31.88,13,0.393,2.19,115.7,1,2724,61.34,1671,1598.14,7586.34,-5988.2
2024-01-02,Dhaka,1500,3,3.03,52.81,2267,0.348,2.35,104.5,0,743,53.83,400,950.58,1212.0,-261.42
2024-10-31,Rangpur,1000,1,1.16,79.83,10,0.273,2.47,124.9,0,2010,27.69,557,1333.96,646.12,687.84
2023-07-10,Rangpur,250,5,5.84,53.96,6,0.675,1.29,131.6,0,3492,72.04,2516,1018.23,14693.44,-13675.21
2024-05-25,Sylhet,1000,4,5.93,22.66,25,0.075,2.22,109.3,0,1056,56.23,594,403.8,3522.42,-3118.62
2024-04-10,Sylhet,500,3,3.75,67.79,29,0.659,2.53,98.4,0,1340,57.47,770,782.97,2887.5,-2104.53
2025-04-19,Chattogram,500,3,1.35,43.79,193,0.179,1.88,42.3,0,3456,26.21,906,595.11,1223.1,-627.99
2025-07-20,Rangpur,1500,1,3.7,29.22,8,0.245,3.1,235.4,0,3568,35.32,1260,1656.77,4662.0,-3005.23
2025-07-25,Rajshahi,1000,1,5.46,71.75,25,0.593,0.53,186.6,0,727,61.96,450,968.63,2457.0,-1488.37
2024-10-24,Dhaka,1500,2,4.4,31.88,1272,0.449,1.54,34.1,0,789,70.92,560,803.38,2464.0,-1660.62
2024-12-20,Chattogram,500,3,4.6,75.25,292,0.871,2.28,0.0,0,2844,65.3,1857,2096.09,8542.2,-6446.11
2025-06-08,Mymensingh,1000,4,1.42,46.51,24,0.615,0.57,196.6,0,1391,37.0,515,718.58,731.3,-12.72
2025-07-23,Rangpur,250,3,1.53,64.57,7,0.817,0.75,141.8,0,1467,35.42,520,251.82,795.6,-543.78
2023-09-24,Mymensingh,1000,3,1.64,52.82,21,0.517,1.69,150.6,0,478,26.08,125,198.08,205.0,-6.92
2023-01-15,Sylhet,1000,3,5.52,35.4,52,0.316,3.51,47.0,0,1184,61.11,724,768.89,3996.48,-3227.59
2025-06-10,Dhaka,1000,2,3.63,60.27,1844,0.399,2.29,153.6,0,1459,58.14,848,1533.27,3078.24,-1544.97
2024-04-29,Dhaka,500,2,4.96,77.47,543,0.856,1.0,61.2,0,2713,71.99,1953,2269.48,9686.88,-7417.4
2023-03-13,Dhaka,250,4,1.58,66.18,2256,0.611,0.95,48.4,0,1260,48.2,607,301.28,959.06,-657.78
2025-05-07,Dhaka,250,5,5.64,56.24,852,0.321,1.67,106.9,1,2719,83.06,2258,952.42,12735.12,-11782.7
2023-06-17,Chattogram,1000,3,5.11,79.44,106,0.543,0.97,229.5,1,1450,83.43,1210,2883.67,6183.1,-3299.43
2023-11-18,Dhaka,1500,3,2.12,35.92,2234,0.461,1.16,0.0,1,3940,49.96,1968,3181.08,4172.16,-991.08
2023-03-04,Khulna,500,5,5.37,23.74,55,0.228,0.52,40.6,0,1619,61.44,995,354.32,5343.15,-4988.83
2024-10-04,Mymensingh,1000,1,2.32,21.93,16,0.363,2.94,0.0,0,1140,32.57,371,244.08,860.72,-616.64
2023-05-29,Khulna,1500,4,2.03,62.64,39,0.714,1.01,85.1,0,980,50.7,497,1400.94,1008.91,392.03
2025-05-24,Rangpur,1000,3,2.32,69.81,9,0.626,1.79,88.2,0,791,42.89,339,709.97,786.48,-76.51
2025-06-12,Sylhet,1000,3,5.55,58.11,28,0.78,2.25,142.0,0,2037,73.31,1493,2602.75,8286.15,-5683.4
2023-01-06,Dhaka,1500,2,5.58,74.3,856,0.341,2.72,12.5,0,6451,70.7,4561,15249.7,25450.38,-10200.68
2025-06-01,Chattogram,500,3,2.64,61.88,224,0.864,2.56,198.3,0,2835,43.15,1223,1135.19,3228.72,-2093.53
2025-05-17,Dhaka,500,4,4.53,42.26,1150,0.207,0.87,142.1,1,2183,64.14,1400,887.46,6342.0,-5454.54
2023-07-03,Chattogram,250,2,4.38,30.88,130,0.569,3.93,150.4,1,690,51.44,355,82.22,1554.9,-1472.68
2024-07-18,Sylhet,2000,3,5.03,75.48,30,0.682,1.11,184.4,0,715,64.49,461,2087.78,2318.83,-231.05
2024-03-22,Dhaka,1500,2,2.48,26.22,537,0.495,0.76,101.8,0,3182,44.78,1425,1681.36,3534.0,-1852.64
2025-05-04,Dhaka,1000,4,3.55,52.58,2370,0.602,1.08,151.9,0,2259,53.38,1206,1902.34,4281.3,-2378.96
2024-05-26,Chattogram,250,3,4.34,38.84,213,0.73,2.03,96.1,0,1048,57.28,600,174.78,2604.0,-2429.22
2025-07-21,Mymensingh,500,4,1.13,36.28,8,0.664,2.86,256.4,0,492,28.66,141,76.73,159.33,-82.6
2024-03-21,Barishal,250,3,2.88,58.75,16,0.155,5.39,22.3,1,1423,33.73,480,211.5,1382.4,-1170.9
2023-08-10,Barishal,250,2,4.48,33.87,10,0.503,1.53,196.5,0,872,43.62,380,96.53,1702.4,-1605.87
2023-08-29,Dhaka,1000,1,2.26,74.98,1086,0.377,0.45,169.2,0,1130,46.54,526,1183.18,1188.76,-5.58
2024-08-27,Barishal,2000,2,5.79,44.36,16,0.768,3.85,179.0,1,666,76.05,506,1346.77,2929.74,-1582.97
2024-03-30,Barishal,1500,2,1.15,60.64,8,0.167,1.45,31.4,0,2877,25.59,736,2008.4,846.4,1162.0
2023-02-26,Sylhet,1000,3,5.79,63.67,65,0.417,0.82,78.9,0,1067,77.86,831,1587.29,4811.49,-3224.2
2024-08-15,Mymensingh,250,1,2.08,60.98,30,0.484,1.68,203.3,0,2339,34.97,818,374.11,1701.44,-1327.33
2024-05-21,Chattogram,500,3,1.24,74.2,179,0.318,2.27,88.5,1,2144,43.99,943,1049.56,1169.32,-119.76
2025-03-13,Mymensingh,500,3,2.46,33.87,8,0.79,2.61,11.5,0,1088,38.63,420,213.38,1033.2,-819.82
2024-08-27,Mymensingh,1000,3,4.93,25.16,10,0.439,0.41,216.5,0,1437,46.48,668,504.21,3293.24,-2789.03
2025-07-03,Dhaka,1500,4,4.76,23.33,908,0.755,3.17,153.4,1,5607,70.47,3951,4147.96,18806.76,-14658.8
2024-10-01,Khulna,500,3,2.04,72.67,69,0.387,1.71,48.6,0,795,39.08,311,339.01,634.44,-295.43
2024-07-15,Mymensingh,500,5,1.98,78.4,10,0.303,1.52,119.7,0,908,38.24,347,408.07,687.06,-278.99
2023-05-29,Dhaka,250,2,4.21,38.15,690,0.289,0.77,66.7,1,376,62.46,235,67.24,989.35,-922.11
2024-01-29,Rajshahi,500,3,3.29,61.61,20,0.496,0.77,7.9,0,1476,60.25,889,821.57,2924.81,-2103.24
2023-01-28,Mymensingh,1000,3,4.96,20.53,7,0.465,3.99,83.7,0,377,48.44,183,112.71,907.68,-794.97
2024-10-04,Rajshahi,250,3,1.12,31.32,30,0.794,4.22,39.8,0,1162,36.27,421,98.89,471.52,-372.63
2024-05-10,Dhaka,1000,3,4.05,61.36,1397,0.421,1.46,51.2,0,461,57.67,266,489.65,1077.3,-587.65
2023-08-07,Rajshahi,1500,3,4.65,23.95,15,0.433,1.2,156.4,0,2719,56.73,1542,1661.89,7170.3,-5508.41
2024-02-15,Dhaka,1000,3,5.97,48.11,903,0.566,2.31,0.0,0,1454,78.06,1135,1638.15,6775.95,-5137.8
2024-10-20,Rajshahi,250,3,4.39,59.75,22,0.053,0.44,26.9,0,200,48.76,98,43.92,430.22,-386.3
2025-04-27,Dhaka,500,5,2.16,65.96,707,0.66,1.8,106.0,1,830,55.91,464,459.08,1002.24,-543.16
2023-05-08,Sylhet,1000,5,1.54,47.23,21,0.574,4.22,73.1,0,1171,27.38,321,454.82,494.34,-39.52
2024-04-13,Rajshahi,500,3,4.2,57.82,18,0.691,1.27,58.4,1,2365,55.85,1321,1145.7,5548.2,-4402.5
2024-04-02,Barishal,500,2,3.62,52.37,7,0.712,4.53,53.9,1,3005,57.12,1716,1348.0,6211.92,-4863.92
2025-07-01,Sylhet,1000,4,5.5,23.14,25,0.597,2.45,185.0,0,2156,66.3,1429,992.01,7859.5,-6867.49
2024-12-06,Rajshahi,1000,5,4.63,64.57,13,0.459,1.66,4.2,0,2022,56.53,1143,2214.11,5292.09,-3077.98
2024-03-23,Sylhet,1000,2,3.55,30.34,53,0.505,1.74,77.3,0,2185,46.43,1014,922.94,3599.7,-2676.76
2024-10-03,Dhaka,500,3,3.02,21.91,935,0.232,0.56,99.1,0,2575,37.57,967,317.8,2920.34,-2602.54
2025-01-28,Rajshahi,1500,5,3.02,47.07,13,0.506,1.11,43.8,0,1649,53.72,886,1876.68,2675.72,-799.04
2025-06-21,Dhaka,500,4,2.13,71.94,1439,0.604,1.36,237.5,0,1406,49.33,694,748.9,1478.22,-729.32
2024-10-08,Mymensingh,250,2,1.09,29.05,10,0.324,1.04,119.1,0,1861,17.65,328,71.46,357.52,-286.06
2024-10-29,Dhaka,1000,3,3.87,20.77,707,0.191,2.25,93.2,0,3698,35.46,1311,816.88,5073.57,-4256.69
2023-01-31,Khulna,1000,5,2.06,26.6,63,0.514,3.23,45.3,0,315,37.81,119,94.96,245.14,-150.18
2024-10-21,Sylhet,1500,4,2.04,41.82,26,0.837,1.05,158.4,0,328,47.8,157,295.46,320.28,-24.82
2024-04-22,Khulna,1000,4,1.63,54.81,62,0.249,2.76,48.1,0,2421,26.2,634,1042.49,1033.42,9.07
2024-06-13,Dhaka,1500,4,1.95,31.58,1092,0.866,1.12,199.9,0,872,43.22,377,535.75,735.15,-199.4
2025-03-03,Rajshahi,1500,2,1.16,68.12,21,0.192,1.04,45.5,0,1717,26.02,447,1370.23,518.52,851.71
2025-01-27,Sylhet,1000,4,4.37,65.2,37,0.455,2.42,63.3,0,1600,58.24,932,1822.99,4072.84,-2249.85
2025-04-04,Barishal,1000,2,3.01,61.75,10,0.857,4.18,105.5,0,7434,49.83,3704,6861.66,11149.04,-4287.38
2023-10-08,Chattogram,1000,5,3.81,49.25,160,0.504,1.98,70.2,0,2624,57.93,1520,2245.8,5791.2,-3545.4
2024-05-09,Rajshahi,2000,3,4.18,41.91,32,0.328,2.51,131.9,0,3305,52.15,1724,4335.17,7206.32,-2871.15
2025-05-17,Khulna,1000,4,5.86,42.54,56,0.622,3.41,82.4,0,1316,60.74,799,1019.68,4682.14,-3662.46
2025-02-21,Sylhet,250,2,1.34,50.18,29,0.771,1.6,43.4,0,930,34.1,317,119.3,424.78,-305.48
2024-06-13,Rajshahi,1000,3,3.09,24.64,27,0.616,2.47,115.4,0,904,48.29,437,323.03,1350.33,-1027.3
2023-02-22,Rajshahi,500,2,2.23,60.94,24,0.384,1.28,120.1,0,3858,30.27,1168,1067.67,2604.64,-1536.97
2023-08-29,Dhaka,500,3,3.38,41.09,1603,0.823,0.67,138.7,0,2361,53.38,1260,776.6,4258.8,-3482.2
2023-09-04,Dhaka,500,4,5.6,33.49,696,0.665,0.55,130.3,0,1725,75.92,1310,658.08,7336.0,-6677.92
2023-03-06,Dhaka,1000,4,4.62,36.7,1071,0.271,0.93,104.9,0,5421,50.12,2717,2991.42,12552.54,-9561.12
2024-03-24,Dhaka,1500,3,4.31,30.82,1727,0.467,2.65,86.9,0,1484,51.61,766,1062.37,3301.46,-2239.09
2023-11-13,Khulna,500,1,3.21,74.09,87,0.414,1.52,0.0,0,953,52.86,504,560.12,1617.84,-1057.72
2024-02-11,Sylhet,250,5,4.36,30.14,24,0.607,2.46,0.0,0,1287,50.19,646,146.03,2816.56,-2670.53
2023-08-21,Dhaka,500,4,1.16,72.98,1171,0.189,0.18,163.8,0,3471,29.5,1024,1120.97,1187.84,-66.87
2024-11-12,Mymensingh,1000,4,3.93,54.33,13,0.737,2.43,0.3,0,626,62.0,388,632.4,1524.84,-892.44
2024-05-13,Dhaka,500,4,3.77,72.05,668,0.95,4.18,87.9,0,1582,55.59,879,949.98,3313.83,-2363.85
2023-05-31,Barishal,500,4,2.73,48.44,12,0.66,3.21,117.2,0,5048,45.14,2279,1655.92,6221.67,-4565.75
2024-09-03,Sylhet,500,3,2.01,75.66,15,0.309,0.85,267.9,0,2174,34.69,754,855.71,1515.54,-659.83
2024-05-31,Chattogram,1000,4,5.04,32.69,207,0.709,2.29,18.8,0,1425,66.05,941,922.84,4742.64,-3819.8
2023-12-13,Dhaka,500,3,1.27,53.28,725,0.46,1.71,27.4,0,6299,26.95,1698,1357.04,2156.46,-799.42
2025-07-16,Sylhet,1000,4,1.35,27.55,32,0.32,2.99,183.4,0,2088,22.31,466,385.15,629.1,-243.95
2024-10-04,Chattogram,250,4,3.2,46.83,196,0.543,0.87,82.8,1,529,48.7,258,90.62,825.6,-734.98
2024-08-19,Mymensingh,1000,1,2.26,54.19,11,0.705,5.94,188.0,0,1450,20.37,295,479.58,666.7,-187.12
2023-03-24,Rajshahi,500,3,4.73,56.34,37,0.313,2.73,83.3,0,3831,55.21,2115,1787.39,10003.95,-8216.56
2024-11-25,Mymensingh,1000,1,4.17,41.93,13,0.619,4.02,76.5,0,1839,50.17,923,1161.04,3848.91,-2687.87
2024-03-02,Dhaka,500,2,4.86,24.58,2330,0.872,0.42,95.5,0,4850,59.37,2879,1061.49,13991.94,-12930.45
2023-09-06,Barishal,1000,3,2.62,59.32,16,0.664,0.76,119.5,0,771,45.39,350,622.86,917.0,-294.14
2023-03-14,Sylhet,1500,4,4.7,49.31,41,0.278,4.09,27.3,0,1540,56.48,870,1930.49,4089.0,-2158.51
2024-07-31,Barishal,1500,2,5.31,28.21,9,0.494,1.69,216.3,0,2099,57.97,1217,1544.92,6462.27,-4917.35
2025-07-09,Dhaka,1000,3,2.73,76.15,833,0.267,0.3,199.7,0,684,47.33,324,740.18,884.52,-144.34
2025-04-02,Sylhet,1000,5,2.7,77.34,30,0.251,2.56,69.0,0,1629,41.72,680,1577.74,1836.0,-258.26
2023-03-28,Khulna,1500,4,5.5,71.4,72,0.245,2.36,98.9,1,2202,74.61,1643,5278.96,9036.5,-3757.54
2023-01-19,Barishal,1000,3,1.25,70.63,11,0.268,4.52,54.5,0,675,24.55,166,351.74,207.5,144.24
2023-10-20,Chattogram,500,4,2.75,25.92,125,0.306,0.92,120.4,0,580,45.57,264,102.64,726.0,-623.36
2025-06-13,Rangpur,1500,3,1.59,79.61,10,0.685,5.26,170.8,0,3757,30.92,1162,4162.81,1847.58,2315.23
2023-02-27,Dhaka,500,2,1.14,44.02,1127,0.735,1.41,61.9,1,1774,37.87,672,443.72,766.08,-322.36
2025-04-08,Rangpur,500,2,1.56,29.79,7,0.586,2.44,74.9,0,317,29.77,94,42.0,146.64,-104.64
2023-11-24,Rangpur,500,2,3.16,68.73,7,0.498,1.96,0.0,0,1016,41.36,420,433.0,1327.2,-894.2
2023-02-20,Rangpur,500,3,4.43,33.54,6,0.676,0.53,45.5,0,1729,62.04,1073,539.83,4753.39,-4213.56
2023-10-04,Rajshahi,1000,5,2.45,51.57,29,0.399,0.95,130.6,0,332,50.77,169,261.46,414.05,-152.59
2024-03-01,Khulna,500,4,5.25,27.68,45,0.427,1.5,111.2,0,858,59.6,511,212.17,2682.75,-2470.58
2024-03-16,Mymensingh,250,3,3.19,48.48,14,0.847,3.25,128.0,1,1307,51.3,670,243.61,2137.3,-1893.69
2024-11-10,Dhaka,250,3,5.84,53.49,866,0.869,2.66,37.0,0,1307,82.05,1072,430.06,6260.48,-5830.42
2024-10-01,Rajshahi,1000,2,5.77,46.76,34,0.429,0.48,46.2,0,781,69.95,546,765.93,3150.42,-2384.49
2023-07-29,Sylhet,1000,4,4.87,24.17,32,0.346,2.99,187.7,0,1482,62.2,922,668.54,4490.14,-3821.6
2023-01-20,Barishal,500,4,5.66,49.1,5,0.617,2.71,15.0,0,1231,67.56,832,612.77,4709.12,-4096.35
2023-06-03,Dhaka,250,2,4.54,48.14,1321,0.611,1.38,193.1,0,1428,60.8,868,313.39,3940.72,-3627.33
2023-12-10,Sylhet,250,1,5.48,35.7,27,0.32,0.76,32.3,0,2031,66.63,1353,362.27,7414.44,-7052.17
2024-01-02,Rangpur,1500,3,2.18,75.3,8,0.427,3.97,71.2,0,444,28.79,128,433.73,279.04,154.69
2023-12-28,Dhaka,1000,3,2.73,45.07,1636,0.702,1.97,0.0,1,2696,62.03,1672,2260.71,4564.56,-2303.85
2023-12-19,Mymensingh,1000,3,4.76,71.85,13,0.467,1.21,0.0,0,2365,62.46,1477,3183.67,7030.52,-3846.85
2023-10-21,Dhaka,250,3,3.12,26.58,2180,0.964,1.1,83.1,0,2295,55.13,1265,252.18,3946.8,-3694.62
2023-05-22,Chattogram,1000,3,5.19,39.13,231,0.251,1.79,65.8,0,1443,63.71,919,1078.81,4769.61,-3690.8
2024-10-10,Dhaka,1000,2,5.39,30.58,912,0.846,0.52,59.2,0,1422,71.94,1023,938.5,5513.97,-4575.47
2025-05-22,Dhaka,500,3,2.5,44.5,532,0.159,2.61,51.7,0,1500,35.85,538,359.12,1345.0,-985.88
2023-07-26,Mymensingh,250,3,5.12,26.7,10,0.413,1.42,178.6,1,1723,58.57,1009,202.05,5166.08,-4964.03
2023-03-13,Chattogram,500,4,1.77,46.46,195,0.962,0.36,96.5,0,2847,47.89,1363,949.87,2412.51,-1462.64
2025-04-02,Khulna,1500,5,2.67,41.23,80,0.644,2.16,102.0,0,2776,42.45,1178,2185.6,3145.26,-959.66
2024-09-09,Dhaka,1500,4,3.59,33.4,914,0.311,1.78,66.1,0,1342,54.35,729,1095.69,2617.11,-1521.42
2024-05-06,Rajshahi,1000,4,2.13,58.53,38,0.71,0.9,75.9,0,2470,40.06,989,1736.59,2106.57,-369.98
2023-06-10,Rajshahi,1000,3,3.9,77.05,12,0.907,1.17,108.7,0,2302,54.03,1244,2875.51,4851.6,-1976.09
2025-02-07,Chattogram,250,3,3.89,32.43,162,0.612,1.86,65.6,0,2656,52.03,1382,336.14,5375.98,-5039.84
2023-12-14,Chattogram,1000,5,2.03,62.71,348,0.528,1.04,54.9,0,1249,48.9,611,1149.47,1240.33,-90.86
2025-02-16,Rangpur,1000,2,4.98,64.54,7,0.248,3.77,0.0,0,4019,57.48,2310,4472.62,11503.8,-7031.18
2024-12-17,Chattogram,500,3,4.16,49.89,344,0.707,0.79,33.5,0,2880,64.88,1869,1398.67,7775.04,-6376.37
2025-07-17,Khulna,1500,3,2.59,73.86,32,0.171,2.38,99.9,0,763,36.74,280,930.64,725.2,205.44
2025-01-31,Chattogram,500,3,2.16,77.98,166,0.124,2.8,47.5,0,933,37.34,348,407.06,751.68,-344.62
2024-01-06,Barishal,500,2,5.39,41.73,17,0.619,3.18,48.1,0,4740,60.24,2855,1787.09,15388.45,-13601.36
2025-07-27,Chattogram,1000,3,5.18,59.06,160,0.303,2.01,210.3,0,446,57.94,258,457.12,1336.44,-879.32
2024-02-24,Rajshahi,1000,4,2.15,59.73,18,0.356,0.93,54.9,0,1606,27.84,447,800.98,961.05,-160.07
2023-07-13,Chattogram,1000,3,1.18,44.22,259,0.289,0.54,158.5,0,7115,26.84,1910,2533.81,2253.8,280.01
2023-03-24,Mymensingh,250,4,5.02,39.01,12,0.84,1.14,38.8,0,3470,58.05,2014,589.25,10110.28,-9521.03
2024-06-09,Chattogram,1500,3,4.08,76.02,177,0.416,2.57,152.1,0,3354,65.66,2202,7532.82,8984.16,-1451.34
2024-03-24,Barishal,1000,5,1.5,67.4,8,0.934,0.92,75.0,1,710,56.23,399,806.78,598.5,208.28
2024-07-15,Khulna,1000,3,3.94,26.87,80,0.63,2.99,129.4,0,2854,54.61,1559,1256.71,6142.46,-4885.75
2024-12-11,Dhaka,2000,3,3.26,27.19,2115,0.387,2.89,16.2,0,4786,46.43,2222,3624.97,7243.72,-3618.75
2023-09-13,Barishal,1000,1,4.87,75.35,15,0.228,3.51,166.2,0,1317,49.2,648,1464.8,3155.76,-1690.96
2023-06-19,Chattogram,250,2,2.05,24.88,202,0.427,1.04,224.7,1,1639,29.7,487,90.87,998.35,-907.48
2024-12-14,Rangpur,1000,3,3.27,61.31,8,0.544,1.8,48.8,0,3323,43.92,1459,2683.54,4770.93,-2087.39
2025-04-04,Mymensingh,250,3,1.78,33.61,18,0.329,3.09,51.2,1,1406,30.74,432,108.9,768.96,-660.06
2024-07-19,Rangpur,250,3,5.79,22.11,13,0.362,1.54,191.7,0,566,53.88,305,50.58,1765.95,-1715.37
2024-12-24,Dhaka,500,1,4.89,23.58,885,0.613,1.62,46.8,0,242,64.69,157,55.53,767.73,-712.2
2024-08-05,Barishal,2000,4,4.68,42.41,20,0.837,1.81,110.6,0,2040,67.17,1370,3486.1,6411.6,-2925.5
2023-12-06,Khulna,500,4,4.45,24.66,57,0.781,1.55,113.0,0,1149,56.75,652,241.17,2901.4,-2660.23
2024-12-13,Rangpur,1000,2,3.12,55.8,13,0.731,4.07,22.7,1,238,55.72,133,222.64,414.96,-192.32
2024-08-01,Sylhet,500,3,5.62,58.84,15,0.309,0.92,144.0,0,935,57.96,542,478.37,3046.04,-2567.67
2025-05-07,Rangpur,1000,4,1.36,42.41,7,0.718,0.71,80.8,0,1246,31.33,390,496.2,530.4,-34.2
2024-01-16,Khulna,1000,3,5.02,64.57,41,0.535,2.78,0.0,0,1165,66.96,780,1510.94,3915.6,-2404.66
2023-08-12,Rajshahi,1000,3,2.08,49.4,16,0.448,1.55,109.6,1,3608,44.66,1611,2387.5,3350.88,-963.38
2025-03-16,Dhaka,500,3,2.62,45.81,2367,0.099,1.3,102.5,0,2593,43.13,1118,768.23,2929.16,-2160.93
2024-11-26,Barishal,1000,2,3.6,44.42,11,0.286,0.52,31.7,0,1477,41.09,607,808.89,2185.2,-1376.31
2024-10-28,Khulna,2000,3,4.91,45.87,54,0.293,0.48,90.4,0,670,57.14,383,1054.09,1880.53,-826.44
2023-04-30,Rajshahi,1000,2,5.19,78.07,21,0.437,1.11,12.3,1,2681,74.55,1999,4681.86,10374.81,-5692.95
2023-07-29,Barishal,1000,3,3.92,60.88,12,0.197,1.12,198.2,0,4576,47.44,2171,3965.11,8510.32,-4545.21
2025-04-10,Rajshahi,1500,2,3.02,38.91,15,0.602,1.02,70.9,0,5498,57.37,3154,5522.5,9525.08,-4002.58
2025-07-14,Dhaka,250,5,5.73,64.03,2502,0.189,3.89,129.9,0,1351,57.29,774,371.69,4435.02,-4063.33
2024-05-19,Rajshahi,1000,3,2.23,39.82,18,0.843,0.39,43.6,0,2476,58.81,1456,1739.34,3246.88,-1507.54
2024-08-20,Khulna,1500,2,5.02,27.54,63,0.559,0.72,242.9,0,1041,60.36,628,778.28,3152.56,-2374.28
2025-01-26,Khulna,250,3,4.06,48.52,44,0.106,0.97,12.5,1,918,60.53,556,202.33,2257.36,-2055.03
2025-07-29,Dhaka,1000,2,2.88,65.06,915,0.492,0.86,241.1,0,2713,49.94,1355,2644.69,3902.4,-1257.71
2024-02-14,Dhaka,500,3,1.01,42.66,1148,0.806,0.91,0.0,1,681,43.8,298,190.69,300.98,-110.29
2023-07-05,Chattogram,1000,3,3.23,72.15,251,0.277,0.68,157.0,0,1165,45.56,531,1149.35,1715.13,-565.78
2024-12-27,Barishal,1000,2,2.38,43.22,11,0.846,0.34,13.4,0,3654,49.43,1806,2341.66,4298.28,-1956.62
2024-07-14,Dhaka,500,2,1.52,40.99,809,0.434,2.06,211.0,0,1152,21.71,250,153.71,380.0,-226.29
2023-07-02,Khulna,1000,3,1.38,79.89,54,0.782,2.15,189.9,0,793,29.13,231,553.64,318.78,234.86
2025-03-18,Mymensingh,500,1,2.74,48.95,14,0.458,2.51,86.7,1,6604,39.73,2624,1926.67,7189.76,-5263.09
2024-02-22,Dhaka,500,4,4.07,68.31,847,0.55,0.27,71.5,1,2428,74.02,1797,1841.3,7313.79,-5472.49
2025-05-02,Rajshahi,500,3,5.19,68.3,13,0.339,2.22,104.3,1,519,61.52,319,326.82,1655.61,-1328.79
2024-10-26,Barishal,1500,3,1.92,75.58,15,0.764,1.18,25.6,0,2069,47.48,982,3339.88,1885.44,1454.44
2023-10-26,Mymensingh,250,3,3.12,25.09,6,0.432,2.32,118.2,0,1503,37.06,557,104.81,1737.84,-1633.03
2023-07-12,Barishal,1500,3,2.96,36.27,12,0.428,1.31,137.2,0,2886,46.79,1350,2203.4,3996.0,-1792.6
2023-06-01,Barishal,1000,5,3.57,66.06,14,0.39,0.83,219.4,1,2325,56.52,1314,2604.09,4690.98,-2086.89
2024-11-18,Rangpur,500,1,5.05,53.76,18,0.249,1.89,47.6,0,1586,59.02,936,754.79,4726.8,-3972.01
2024-05-20,Khulna,1000,1,3.77,53.58,45,0.728,2.68,102.7,0,1968,57.77,1137,1827.61,4286.49,-2458.88
